kantonsnummer,name,mean
"21",Ticino,"42.4556598632008"
"14",Schaffhausen,"41.9084555752999"
"11",Solothurn,"40.4652159152839"
"26",Jura,"39.9744597932356"
"13",Basel-Landschaft,"39.1647851774916"
"6",Obwalden,"35.5066592528873"
"19",Aargau,"34.8845934643401"
"24",Neuchâtel,"34.248927831434"
"15",Appenzell Ausserrhoden,"31.5914752388803"
"7",Nidwalden,"30.2175218713081"
"5",Schwyz,"29.8504261374627"
"22",Vaud,"29.4353653694488"
"1",Zürich,"29.139057668338"
"2",Bern,"27.8978574571713"
"16",Appenzell Innerrhoden,"27.5699397664448"
"3",Luzern,"27.2246142112414"
"17",St. Gallen,"26.4101231683084"
"9",Zug,"26.0472814562633"
"10",Fribourg,"25.0485622110094"
"8",Glarus,"24.2232266474071"
"18",Graubünden,"22.7212822937171"
"20",Thurgau,"20.127363399439"
"23",Valais,"20.0336262104377"
"4",Uri,"14.3326812967947"
"12",Basel-Stadt,"12.0980130625783"
"25",Genève,"11.4553194965219"
